"Story","Act","Storyline_no","Storyline",,"Role","Agent",,
1,1,154,"Meta Heusser-Schweizer took timely note on these events in her diary.",1839,1,"HeScM1797","Scene:  154#   Meta Heusser-Schweizer took timely note on these events in her diary.","Year:  1839  - - -  Character: HeScM1797"
1,1,155,"On the 22nd, the missive arrived in Pfäffikon and a Parish Assembly is convoked where they establish a Municipal Committee.",1839,3,"HiB1807","Scene:  155#   On the 22nd, the missive arrived in Pfäffikon and a Parish Assembly is convoked where they establish a Municipal Committee.","Year:  1839  - - -  Character: HiB1807"
1,1,156,"6 March 1839, the church committee convokes a Parish Assembly in reaction to the...",1839,3,"HiB1807","Scene:  156#   6 March 1839, the church committee convokes a Parish Assembly in reaction to the...","Year:  1839  - - -  Character: HiB1807"
1,1,157,"7 March, The ""Wilhelm Tell"" started a long line of defamation by different newspapers against Hirzel and the parish assembly.",1839,3,"HiB1807","Scene:  157#   7 March, The ""Wilhelm Tell"" started a long line of defamation by different newspapers against Hirzel and the parish assembly.","Year:  1839  - - -  Character: HiB1807"
1,1,158,"8 March, The conservative ""Zürcher Freitags-Zeitung"" and the radical ""Republican"" published their opinion on the Assembly of March 6. The ""Republican"" used the word ""terrorism"".",1839,3,"HiB1807","Scene:  158#   8 March, The conservative ""Zürcher Freitags-Zeitung"" and the radical ""Republican"" published their opinion on the Assembly of March 6. The ""Republican"" used the word ""terrorism"".","Year:  1839  - - -  Character: HiB1807"
1,1,159,"15 March, The ""Beobachter"" defended Hirzel's implication as correct, and reject the defamation of the ""Republikaner"", relativating his role as ""leader"".",1839,3,"HiB1807","Scene:  159#   15 March, The ""Beobachter"" defended Hirzel's implication as correct, and reject the defamation of the ""Republikaner"", relativating his role as ""leader"".","Year:  1839  - - -  Character: HiB1807"
1,1,160,"20 April, Bernhard Hirzel critisized the religious teaching by Karl Kramers, teacher at the newly founded secondary school [Sekundarschule]. He tries to motivate the Comission of the Secondary School [Sekundarschulkommission] to remove Kramer. He is not succesful until Kramer takes a pro-government position in respect to the Züriputsch.",1839,3,"HiB1807","Scene:  160#   20 April, Bernhard Hirzel critisized the religious teaching by Karl Kramers, teacher at the newly founded secondary school [Sekundarschule]. He tries to motivate the Comission of the Secondary School [Sekundarschulkommission] to remove Kramer. He is not succesful until Kramer takes a pro-government position in respect to the Züriputsch.","Year:  1839  - - -  Character: HiB1807"
1,1,161,"In July 1839 Georg Herwegh deserted and fled to Switzerland. Emma Herwegh passed a recreatory stay in Karlsbad.",1839,7,"HeSiE1817","Scene:  161#   In July 1839 Georg Herwegh deserted and fled to Switzerland. Emma Herwegh passed a recreatory stay in Karlsbad.","Year:  1839  - - -  Character: HeSiE1817"
1,1,162,"27 August, during a meeting of the Parish Chapter (Pastoralgesellschaft Pfäffikon), Hirzel gave a speech ""Jetzt ist eine Revolution […] von der Regierung ausgeganten.""",1839,3,"HiB1807","Scene:  162#   27 August, during a meeting of the Parish Chapter (Pastoralgesellschaft Pfäffikon), Hirzel gave a speech ""Jetzt ist eine Revolution […] von der Regierung ausgeganten.""","Year:  1839  - - -  Character: HiB1807"
1,1,163,"In the same month, Heinrich Weiss lost the full support by the citizens of Fehraltorf and moved to Winterthur where he worked as a drapery merchant.",1839,5,"WeH1789","Scene:  163#   In the same month, Heinrich Weiss lost the full support by the citizens of Fehraltorf and moved to Winterthur where he worked as a drapery merchant.","Year:  1839  - - -  Character: WeH1789"
1,1,164,"2 September, 1839 was the Day of Kloten. Meta Heusser-Schweizer annoted this day in her diary and named the 6th the day of the decision. She stood in Baden in the meanwhile.",1839,1,"HeScM1797","Scene:  164#   2 September, 1839 was the Day of Kloten. Meta Heusser-Schweizer annoted this day in her diary and named the 6th the day of the decision. She stood in Baden in the meanwhile.","Year:  1839  - - -  Character: HeScM1797"
1,1,165,"7 September, in the evening, the town of Pfäffikon was illuminated in honour of Bernhard Hirzel. Antistes Füssli and Bernhard Hirzel became members of the Educational council.",1839,3,"HiB1807","Scene:  165#   7 September, in the evening, the town of Pfäffikon was illuminated in honour of Bernhard Hirzel. Antistes Füssli and Bernhard Hirzel became members of the Educational council.","Year:  1839  - - -  Character: HiB1807"
1,1,166,"9 September 1939 Züriputsch.",1839,3,"HiB1807","Scene:  166#   9 September 1939 Züriputsch.","Year:  1839  - - -  Character: HiB1807"
1,1,167,"23 October 1939, Decan Schweizer described the Faith Committee as a tool of God, during the parish Chapter.",1839,3,"HiB1807","Scene:  167#   23 October 1939, Decan Schweizer described the Faith Committee as a tool of God, during the parish Chapter.","Year:  1839  - - -  Character: HiB1807"
1,1,168,"In the same year Bernhard Hirzel’s brother Johannes divorced from his wife Anna Hirzel-Holzhalb.",1839,3,"HiB1807","Scene:  168#   In the same year Bernhard Hirzel’s brother Johannes divorced from his wife Anna Hirzel-Holzhalb.","Year:  1839  - - -  Character: HiB1807"
1,1,169,"Constantin Siegwart-Müller was member of the Grand City Council Luzern and influenced the calling of the Jesuits to the institutions of higher education by Josef Leu who led to a conflict between the conservative cantons.",1839,4,"SiMueC1800","Scene:  169#   Constantin Siegwart-Müller was member of the Grand City Council Luzern and influenced the calling of the Jesuits to the institutions of higher education by Josef Leu who led to a conflict between the conservative cantons.","Year:  1839  - - -  Character: SiMueC1800"
1,1,170,"Siegwart-Müller fought the conservatives in his news paper, but already wrote in favor of the ""true sovereign of the people (Volksouveränität)"" against representational democracy, which would have consequences for Zürich.",1839,4,"SiMueC1800","Scene:  170#   Siegwart-Müller fought the conservatives in his news paper, but already wrote in favor of the ""true sovereign of the people (Volksouveränität)"" against representational democracy, which would have consequences for Zürich.","Year:  1839  - - -  Character: SiMueC1800"
1,1,171,"The Catholic cantons hold their own conferences on the issues between the State and the Church.",1839,4,"SiMueC1800","Scene:  171#   The Catholic cantons hold their own conferences on the issues between the State and the Church.","Year:  1839  - - -  Character: SiMueC1800"
1,1,172,"In the meanwhile, Katharina Morel entered the business world and became shareholder of the Stadttheater Luzern, which was still under construction.",1839,2,"MoKaK1790","Scene:  172#   In the meanwhile, Katharina Morel entered the business world and became shareholder of the Stadttheater Luzern, which was still under construction.","Year:  1839  - - -  Character: MoKaK1790"
1,1,173,"1840 Siegwart-Müller became State Secretary (Staatsschreiber) in Luzern. During the years 1833-1838, the freedom of movement was highly disputed in several cantons and led to the so called Beisassen-Handel in the Canton Schwyz which involved Constantin Siegwart-Müller directly as well as the chief magistrates (Landammänner) Nazar von Reding, Ab Yberg and Fridolin Holdener. This affairs was paralleled by the Horn- und Klauenstreit (horns and claws dispute), in which arguments about rights of cooperative use and the commons (Allmende), extended to general questions in social politics and ended in a mass brawl during the Cantonal Assembly on the 6 May 1838 in Schwyz. Constantin Siegwart-Müller spoke in favor of the Klauen-Party. The Swiss Diet called the troopes and declared the Assembly as invalid. A new Assembly was calle on 22 July 1838 under the observation of the Swiss Diet. As a result the conservative forces, the horn men, would return to power in the forest cantons.",1840,4,"SiMueC1800","Scene:  173#   1840 Siegwart-Müller became State Secretary (Staatsschreiber) in Luzern. During the years 1833-1838, the freedom of movement was highly disputed in several cantons and led to the so called Beisassen-Handel in the Canton Schwyz which involved Constantin Siegwart-Müller directly as well as the chief magistrates (Landammänner) Nazar von Reding, Ab Yberg and Fridolin Holdener. This affairs was paralleled by the Horn- und Klauenstreit (horns and claws dispute), in which arguments about rights of cooperative use and the commons (Allmende), extended to general questions in social politics and ended in a mass brawl during the Cantonal Assembly on the 6 May 1838 in Schwyz. Constantin Siegwart-Müller spoke in favor of the Klauen-Party. The Swiss Diet called the troopes and declared the Assembly as invalid. A new Assembly was calle on 22 July 1838 under the observation of the Swiss Diet. As a result the conservative forces, the horn men, would return to power in the forest cantons.","Year:  1840  - - -  Character: SiMueC1800"
1,1,174,"From 1838-1840 Constantin Siegwart-Müller remained involved in questions of freedom of movement and further opposes the liberal intents to separate the Church from the State. He took high interest in the appointment of David Friedrich Strauss to the university of Zürich and the later disputes about the universities possible dissolution as proposed by the liberals and supported the conservative side through his news papers.",1840,4,"SiMueC1800","Scene:  174#   From 1838-1840 Constantin Siegwart-Müller remained involved in questions of freedom of movement and further opposes the liberal intents to separate the Church from the State. He took high interest in the appointment of David Friedrich Strauss to the university of Zürich and the later disputes about the universities possible dissolution as proposed by the liberals and supported the conservative side through his news papers.","Year:  1840  - - -  Character: SiMueC1800"
1,1,175,"27 March 1840, Jules Piaget, whome Emma called her ""beloved brother"" died.",1840,7,"HeSiE1817","Scene:  175#   27 March 1840, Jules Piaget, whome Emma called her ""beloved brother"" died.","Year:  1840  - - -  Character: HeSiE1817"
1,1,176,"In July, Meta Heusser-Schweizer made a trip to the Rigi.",1840,1,"HeScM1797","Scene:  176#   In July, Meta Heusser-Schweizer made a trip to the Rigi.","Year:  1840  - - -  Character: HeScM1797"
1,1,177,"In 1840, Jakob Robert Steiger, a liberal and friend, drew a potrait of Constantin Siegwart-Müller.",1840,4,"SiMueC1800","Scene:  177#   In 1840, Jakob Robert Steiger, a liberal and friend, drew a potrait of Constantin Siegwart-Müller.","Year:  1840  - - -  Character: SiMueC1800"
1,1,178,"A constitutional revision hold place in the same year.",1840,4,"SiMueC1800","Scene:  178#   A constitutional revision hold place in the same year.","Year:  1840  - - -  Character: SiMueC1800"
1,1,179,"5 November 1840, Siegwart-Müller called the Central Committee of the Ruswiler Club for a meeting. He was secretary and Josef Leu president of the club. On the 25th, he was suspended by the liberal government as state secretary as a threat for the public order.",1840,4,"SiMueC1800","Scene:  179#   5 November 1840, Siegwart-Müller called the Central Committee of the Ruswiler Club for a meeting. He was secretary and Josef Leu president of the club. On the 25th, he was suspended by the liberal government as state secretary as a threat for the public order.","Year:  1840  - - -  Character: SiMueC1800"
1,1,180,"30 December 1840, Siegwart-Müller was ceased from his position as state secretary by the Grand Council.",1840,4,"SiMueC1800","Scene:  180#   30 December 1840, Siegwart-Müller was ceased from his position as state secretary by the Grand Council.","Year:  1840  - - -  Character: SiMueC1800"
1,1,181,"16 February 1841 Bernhard Hirzel was ceased from the Educational council in the same year, Heinrich Weiss became member.",1841,3,"WeH1789; HiB1807","Scene:  181#   16 February 1841 Bernhard Hirzel was ceased from the Educational council in the same year, Heinrich Weiss became member.","Year:  1841  - - -  Character: WeH1789; HiB1807"
1,1,182,"Josef Leu founded his people's party (Volkspartei). Siegwart-Müller kept distanciated.",1841,4,"SiMueC1800","Scene:  182#   Josef Leu founded his people's party (Volkspartei). Siegwart-Müller kept distanciated.","Year:  1841  - - -  Character: SiMueC1800"
1,1,183,"In March, Constantin Siegwart-Müller sended his ""Bemerkungen und Wünsche [Comments and Desires]"" from Altorf to Luzern.",1841,4,"SiMueC1800","Scene:  183#   In March, Constantin Siegwart-Müller sended his ""Bemerkungen und Wünsche [Comments and Desires]"" from Altorf to Luzern.","Year:  1841  - - -  Character: SiMueC1800"
1,1,184,"The monastry affair (Klosterfrage) in Canton Aargau brought the confessional concerns up again in all the Swiss cantons.",1841,4,"SiMueC1800","Scene:  184#   The monastry affair (Klosterfrage) in Canton Aargau brought the confessional concerns up again in all the Swiss cantons.","Year:  1841  - - -  Character: SiMueC1800"
1,1,185,"23 May 1841, Regular electios of the Grand Council brought Siegwart-Müller to his position as counciler. He corresponds with Metternich and other foreign governments in hope for support of the conservative cause.",1841,4,"SiMueC1800","Scene:  185#   23 May 1841, Regular electios of the Grand Council brought Siegwart-Müller to his position as counciler. He corresponds with Metternich and other foreign governments in hope for support of the conservative cause.","Year:  1841  - - -  Character: SiMueC1800"
1,1,186,"In July, Herwegh's ""Gedichte eines Lebendigen"" were published.",1841,7,"HeSiE1817","Scene:  186#   In July, Herwegh's ""Gedichte eines Lebendigen"" were published.","Year:  1841  - - -  Character: HeSiE1817"
1,1,187,"Meta Heusser-Schweizer passed the month of September on the Rigi.",1841,1,"HeScM1797","Scene:  187#   Meta Heusser-Schweizer passed the month of September on the Rigi.","Year:  1841  - - -  Character: HeScM1797"
1,1,188,"Emma Siegmund passed her summer holiday on the island Helgoland. On her return, in September on the 28rd, she read Georg Herwegh‘s ""Gedichte eines Lebendigen"".",1841,7,"HeSiE1817","Scene:  188#   Emma Siegmund passed her summer holiday on the island Helgoland. On her return, in September on the 28rd, she read Georg Herwegh‘s ""Gedichte eines Lebendigen"".","Year:  1841  - - -  Character: HeSiE1817"
1,1,189,"22 August 1842, Heinrich Weiss became member of the District Council for Education in Winterthur.",1842,5,"WeH1789","Scene:  189#   22 August 1842, Heinrich Weiss became member of the District Council for Education in Winterthur.","Year:  1842  - - -  Character: WeH1789"
1,1,190,"In September, Georg Herwegh's organized a triumph tour through the German countries.",1842,7,"HeSiE1817","Scene:  190#   In September, Georg Herwegh's organized a triumph tour through the German countries.","Year:  1842  - - -  Character: HeSiE1817"
1,1,191,"6 November 1842, first encounter between Emma Siegmund and Georg Herwegh. Only 7 days later, on the 13th, Emma Siegmund and Georg Herwegh got engaged at the Siegmund estate.",1842,7,"HeSiE1817","Scene:  191#   6 November 1842, first encounter between Emma Siegmund and Georg Herwegh. Only 7 days later, on the 13th, Emma Siegmund and Georg Herwegh got engaged at the Siegmund estate.","Year:  1842  - - -  Character: HeSiE1817"
1,1,192,"19 November, Herwegh had an audience by Friedrich Wilhelm IV.",1842,7,"HeSiE1817","Scene:  192#   19 November, Herwegh had an audience by Friedrich Wilhelm IV.","Year:  1842  - - -  Character: HeSiE1817"
1,1,193,"28 December 1842, the ""Deutsche Bote"", among other newspapers, was prohibited, letter to the King. Expulsion of Herwegh from the Kingdoms Prussia and Saxon.",1842,7,"HeSiE1817","Scene:  193#   28 December 1842, the ""Deutsche Bote"", among other newspapers, was prohibited, letter to the King. Expulsion of Herwegh from the Kingdoms Prussia and Saxon.","Year:  1842  - - -  Character: HeSiE1817"
1,1,194,"Meta Heusser-Schweizer and her family fought in the meantime against a winter flue. In December, was the confirmation of her son Christian.",1842,1,"HeScM1797","Scene:  194#   Meta Heusser-Schweizer and her family fought in the meantime against a winter flue. In December, was the confirmation of her son Christian.","Year:  1842  - - -  Character: HeScM1797"
1,1,195,"The same month, Herwegh traveled onward to Königsberg.",1842,7,"HeSiE1817","Scene:  195#   The same month, Herwegh traveled onward to Königsberg.","Year:  1842  - - -  Character: HeSiE1817"
1,1,196,"The year 1842, Heinrich Weiss was reelected as member of the Grand Council. He became also State council and opposed in this function to the editorial of the Zürcher Blätter.",1842,5,"WeH1789","Scene:  196#   The year 1842, Heinrich Weiss was reelected as member of the Grand Council. He became also State council and opposed in this function to the editorial of the Zürcher Blätter.","Year:  1842  - - -  Character: WeH1789"
1,1,197,"In Luzern, Siegwart-Müller proposed a middle way, joining secular priests (clerici saeculari) under the command of a rector. Further, he feigned lack of knowledge about the current situation of the Society of Jesus.",1842,4,"SiMueC1800","Scene:  197#   In Luzern, Siegwart-Müller proposed a middle way, joining secular priests (clerici saeculari) under the command of a rector. Further, he feigned lack of knowledge about the current situation of the Society of Jesus.","Year:  1842  - - -  Character: SiMueC1800"
1,1,198,"8 March 1843 Emma Siegmund and Georg Herwegh married in Baden, Switzerland and enjoyed and extended honeymoon from April to September.",1843,7,"HeSiE1817","Scene:  198#   8 March 1843 Emma Siegmund and Georg Herwegh married in Baden, Switzerland and enjoyed and extended honeymoon from April to September.","Year:  1843  - - -  Character: HeSiE1817"
1,1,199,"During their voyage they encounter with the ""Handwerkerkommunisten"" Weitling and Becker in Geneva. The travel to Southern France and Italy and enjoy a bathing holiday in Ostende.",1843,7,"HeSiE1817","Scene:  199#   During their voyage they encounter with the ""Handwerkerkommunisten"" Weitling and Becker in Geneva. The travel to Southern France and Italy and enjoy a bathing holiday in Ostende.","Year:  1843  - - -  Character: HeSiE1817"
1,1,200,"12 July 1843, Meta Heusser-Schweizer’s son Theodor wrote; her comment: “to Berlin”.",1843,1,"HeScM1797","Scene:  200#   12 July 1843, Meta Heusser-Schweizer’s son Theodor wrote; her comment: “to Berlin”.","Year:  1843  - - -  Character: HeScM1797"
1,1,201,"30 August was Missionsfest.",1843,1,"HeScM1797","Scene:  201#   30 August was Missionsfest.","Year:  1843  - - -  Character: HeScM1797"
1,1,202,"13 September 1843, Constantin Siegwart-Müller had become Envoy of the Confederate Diet, and proposed to ""refer the conduct of the affair to a permanent conference, along with some instructions on actions military defense becoming the foundation of  the first consultation from which the further developments and finally resulted in the joining of an actual separate alliance arose "".",1843,4,"SiMueC1800","Scene:  202#   13 September 1843, Constantin Siegwart-Müller had become Envoy of the Confederate Diet, and proposed to ""refer the conduct of the affair to a permanent conference, along with some instructions on actions military defense becoming the foundation of  the first consultation from which the further developments and finally resulted in the joining of an actual separate alliance arose "".","Year:  1843  - - -  Character: SiMueC1800"
1,1,203,"Until November 1843 three of the dissolved monasteries werepartially restored, among other the monastery Fahr, Einsiedeln, Rheinau (?)",1843,4,"SiMueC1800","Scene:  203#   Until November 1843 three of the dissolved monasteries werepartially restored, among other the monastery Fahr, Einsiedeln, Rheinau (?)","Year:  1843  - - -  Character: SiMueC1800"
1,1,204,"By end of September, in Paris, the couple Herwegh accomodated in an apartement next to Marx and Ruge. Later in November, Georg began his friendship with the Countess Mari d'Agoult (Daniel Stern).",1843,7,"HeSiE1817","Scene:  204#   By end of September, in Paris, the couple Herwegh accomodated in an apartement next to Marx and Ruge. Later in November, Georg began his friendship with the Countess Mari d'Agoult (Daniel Stern).","Year:  1843  - - -  Character: HeSiE1817"
1,1,205,"28 December 1843, Horace Herwegh was born and the second part of the ""Gedichte eines Lebendigen"" were published.",1843,7,"HeSiE1817","Scene:  205#   28 December 1843, Horace Herwegh was born and the second part of the ""Gedichte eines Lebendigen"" were published.","Year:  1843  - - -  Character: HeSiE1817"
1,1,206,"2 February 1844, Bernhard Hirzel was accused in the ""Boten von Uster"" for the lack of a final balance for the expenses of the Fire Control Committee. Further defamations follow during the following months.",1844,3,"HiB1807","Scene:  206#   2 February 1844, Bernhard Hirzel was accused in the ""Boten von Uster"" for the lack of a final balance for the expenses of the Fire Control Committee. Further defamations follow during the following months.","Year:  1844  - - -  Character: HiB1807"
1,1,207,"31 March 1844, the first Volunteerism movement (Freischaarenzug) took actions.",1844,4,"SiMueC1800","Scene:  207#   31 March 1844, the first Volunteerism movement (Freischaarenzug) took actions.","Year:  1844  - - -  Character: SiMueC1800"
1,1,208,"During the same month in Paris, Emma discovered Georg Herwegh's affair with Marie d'Agoult, writes in her diary.",1844,7,"HeSiE1817","Scene:  208#   During the same month in Paris, Emma discovered Georg Herwegh's affair with Marie d'Agoult, writes in her diary.","Year:  1844  - - -  Character: HeSiE1817"
1,1,209,"In Silesia, the Weberaufstand [weaver uprising] took place from the 4th to the 6th of June, and even though, it was not the largest or most intensive one of a series of weaver uprisings in Germany, it achieve unknown coverage by the media.",1844,7,"HeSiE1817","Scene:  209#   In Silesia, the Weberaufstand [weaver uprising] took place from the 4th to the 6th of June, and even though, it was not the largest or most intensive one of a series of weaver uprisings in Germany, it achieve unknown coverage by the media.","Year:  1844  - - -  Character: HeSiE1817"
1,1,210,"For Emma Herwegh this was rather an opportunity to take up the fight with her rival, competing in the aesthetic literary salons and beginning her political activity, starting from July.",1844,7,"HeSiE1817","Scene:  210#   For Emma Herwegh this was rather an opportunity to take up the fight with her rival, competing in the aesthetic literary salons and beginning her political activity, starting from July.","Year:  1844  - - -  Character: HeSiE1817"
1,1,211,"19 June 1844, Josef Morel, after much worries due to family issues, and herritage disputes, died unexpectedly. Katharina had to restructure her financial budget.",1844,2,"MoKaK1790","Scene:  211#   19 June 1844, Josef Morel, after much worries due to family issues, and herritage disputes, died unexpectedly. Katharina had to restructure her financial budget.","Year:  1844  - - -  Character: MoKaK1790"
1,1,212,"The day after, Meta Heusser-Schweizer recorded in her diary Zar Alexander I.’s visit of the Bible Society in London.",1844,1,"HeScM1797","Scene:  212#   The day after, Meta Heusser-Schweizer recorded in her diary Zar Alexander I.’s visit of the Bible Society in London.","Year:  1844  - - -  Character: HeScM1797"
1,1,213,"4 December 1844, Johann Jakob Blumer an Alfred Escher, Glarus, Mittwoch, 4. Dezember 1844: wrote against any liberal intents of a Putsch and believed that waiting a while more, the people would get tired of Siegwart and change their direction.",1844,4,"WeH1789; SiMueC1800","Scene:  213#   4 December 1844, Johann Jakob Blumer an Alfred Escher, Glarus, Mittwoch, 4. Dezember 1844: wrote against any liberal intents of a Putsch and believed that waiting a while more, the people would get tired of Siegwart and change their direction.","Year:  1844  - - -  Character: WeH1789; SiMueC1800"
1,1,214,"But liberal governments thought otherwise and the volunteers engaged in agitations which were defeated in Luzern only four days later on the 8th of December. Equally, Constantin Siegwart-Müller, who was chief magistrate (Schultheiss) by this time and led the coup, as well as Katharina Morel, who belonged to the Pepper women (Pfefferfrauen), a female radical-liberal guerilla who supported the volunteerism movement during 1844-1845, annotated this date.",1844,2,"MoKaK1790; SiMueC1800","Scene:  214#   But liberal governments thought otherwise and the volunteers engaged in agitations which were defeated in Luzern only four days later on the 8th of December. Equally, Constantin Siegwart-Müller, who was chief magistrate (Schultheiss) by this time and led the coup, as well as Katharina Morel, who belonged to the Pepper women (Pfefferfrauen), a female radical-liberal guerilla who supported the volunteerism movement during 1844-1845, annotated this date.","Year:  1844  - - -  Character: MoKaK1790; SiMueC1800"
1,1,215,"Besides all the turmoils, in 1844 finally the docks were built in Luzern, and the hotel ""Schweizerhof"" was built in 1844/45 by the brothers Xaver and Josef Plazidus Segesser as  a building with 15 axes.",1844,2,"MoKaK1790","Scene:  215#   Besides all the turmoils, in 1844 finally the docks were built in Luzern, and the hotel ""Schweizerhof"" was built in 1844/45 by the brothers Xaver and Josef Plazidus Segesser as  a building with 15 axes.","Year:  1844  - - -  Character: MoKaK1790"
1,1,216,"Constantin Siegwart-Müller was appointed President of the Confederate Diet and supported secretly Leu in his plan to install the Jesuit Order.",1845,4,"SiMueC1800","Scene:  216#   Constantin Siegwart-Müller was appointed President of the Confederate Diet and supported secretly Leu in his plan to install the Jesuit Order.","Year:  1845  - - -  Character: SiMueC1800"
1,1,217,"16 January 1845, Heinrich Weiss reported on an assembly in the Canton Zürich:",1845,5,"WeH1789","Scene:  217#   16 January 1845, Heinrich Weiss reported on an assembly in the Canton Zürich:","Year:  1845  - - -  Character: WeH1789"
1,1,218,"""Es war winterlich kalt an diesem 26. Januar 1845, und trotzdem pilgerte eine beispiellose Zahl von Menschen zu Fuss und auf Wagen zur grossen Wiese in Unterstrass, um der Volksversammlung beizuwohnen. Gemäss dem «Schweizerischen Republikaner» war «eine Masse zusammengeströmt, wie in der Schweiz noch keine wegen politischer Motive auf einem Platze vereinigt gesehen wurde».26 Mit Fahnen und zum Teil von Musik begleitet, fanden sich immer neue Menschentrauben aus allen Teilen Zürichs und sogar aus anderen Kantonen ein. Gegen Mittag, als die Veranstaltung begann, dürften etwa 20 000 Menschen den Weg nach Unterstrass gefunden haben, um die antijesuitische Bewegung zu unterstützen.27 Das Publikum wurde von einem Spruchband in Empfang genommen, auf dem zu lesen war: «Jesuiten zum Land hinaus, sonst kehrt kein Frieden in unser Haus!»28 Auf der Tribüne präsentierten sich die führenden Zürcher Radikal-Liberalen wie Jonas Furrer und Oberst Heinrich Weiss; daneben war auch der Luzerner Politiker und Publizist Jakob Robert Steiger anwesend, einer der Anführer des Freischarenzuges vom Dezember 1844. Und neben diesen altgedienten Politikern sass Alfred Escher, noch nicht einmal 26jährig und kurz zuvor in den Grossen Rat gewählt. Furrer und seine Freunde präsentierten mit Escher einen neuen Stern am Zürcher Polithimmel. Dies machte ihn bei Freund und Feind schlagartig bekannt. Die Versammlung von Unterstrass war der Auftakt zu Eschers gnadenlosem propagandistischem Feldzug gegen die Jesuiten; er wurde zusehends zum «Propagandaminister» der Antijesuitenbewegung in der Ostschweiz"".",1845,5,"WeH1789","Scene:  218#   ""Es war winterlich kalt an diesem 26. Januar 1845, und trotzdem pilgerte eine beispiellose Zahl von Menschen zu Fuss und auf Wagen zur grossen Wiese in Unterstrass, um der Volksversammlung beizuwohnen. Gemäss dem «Schweizerischen Republikaner» war «eine Masse zusammengeströmt, wie in der Schweiz noch keine wegen politischer Motive auf einem Platze vereinigt gesehen wurde».26 Mit Fahnen und zum Teil von Musik begleitet, fanden sich immer neue Menschentrauben aus allen Teilen Zürichs und sogar aus anderen Kantonen ein. Gegen Mittag, als die Veranstaltung begann, dürften etwa 20 000 Menschen den Weg nach Unterstrass gefunden haben, um die antijesuitische Bewegung zu unterstützen.27 Das Publikum wurde von einem Spruchband in Empfang genommen, auf dem zu lesen war: «Jesuiten zum Land hinaus, sonst kehrt kein Frieden in unser Haus!»28 Auf der Tribüne präsentierten sich die führenden Zürcher Radikal-Liberalen wie Jonas Furrer und Oberst Heinrich Weiss; daneben war auch der Luzerner Politiker und Publizist Jakob Robert Steiger anwesend, einer der Anführer des Freischarenzuges vom Dezember 1844. Und neben diesen altgedienten Politikern sass Alfred Escher, noch nicht einmal 26jährig und kurz zuvor in den Grossen Rat gewählt. Furrer und seine Freunde präsentierten mit Escher einen neuen Stern am Zürcher Polithimmel. Dies machte ihn bei Freund und Feind schlagartig bekannt. Die Versammlung von Unterstrass war der Auftakt zu Eschers gnadenlosem propagandistischem Feldzug gegen die Jesuiten; er wurde zusehends zum «Propagandaminister» der Antijesuitenbewegung in der Ostschweiz"".","Year:  1845  - - -  Character: WeH1789"
1,1,219,"11 March 1845, the ""Schweizerische National-Zeitung"" blamed Hirzel to have participated in the Putsch motivated by revenge.",1845,3,"HiB1807","Scene:  219#   11 March 1845, the ""Schweizerische National-Zeitung"" blamed Hirzel to have participated in the Putsch motivated by revenge.","Year:  1845  - - -  Character: HiB1807"
1,1,220,"In the same month, Meta Heusser-Schweizer knew through correspondence from her son Theodor who left Berlin and headed for Prag. And her English teacher Margarethe Anderson-Locher, married to the Scottish missionary Anderson in Madras, would leave for India.",1845,1,"HeScM1797","Scene:  220#   In the same month, Meta Heusser-Schweizer knew through correspondence from her son Theodor who left Berlin and headed for Prag. And her English teacher Margarethe Anderson-Locher, married to the Scottish missionary Anderson in Madras, would leave for India.","Year:  1845  - - -  Character: HeScM1797"
1,1,221,"In April 1845 a second Volunteerism movement took place. Again the conservatives gained the victory in Luzern, which was happily recoreded by Meta Heusser-Schweizer and by Constantin Siegwart-Müller.",1845,1,"HeScM1797; SiMueC1800","Scene:  221#   In April 1845 a second Volunteerism movement took place. Again the conservatives gained the victory in Luzern, which was happily recoreded by Meta Heusser-Schweizer and by Constantin Siegwart-Müller.","Year:  1845  - - -  Character: HeScM1797; SiMueC1800"
1,1,222,"10 April 1845, Johann Jakob Rebsamen from Bauma wrote a letter to Alfred Escher in which he affirmed his believe that their, the radical’s, failures (""Sünden"") in other issues could be remediated through a strong opposition against the calling of the Society of Jesus.",1845,6,"EsA1819","Scene:  222#   10 April 1845, Johann Jakob Rebsamen from Bauma wrote a letter to Alfred Escher in which he affirmed his believe that their, the radical’s, failures (""Sünden"") in other issues could be remediated through a strong opposition against the calling of the Society of Jesus.","Year:  1845  - - -  Character: EsA1819"
1,1,223,"1 May 1845, elections of the Grand Council were held. The rejection of Constantin Siegwart-Müller led to an absence of the representation of the conservatives in the council.",1845,4,"SiMueC1800","Scene:  223#   1 May 1845, elections of the Grand Council were held. The rejection of Constantin Siegwart-Müller led to an absence of the representation of the conservatives in the council.","Year:  1845  - - -  Character: SiMueC1800"
1,1,224,"10 July 1845, Katharina received a thank you letter from Jakob Robert Steiger for her helping to escape from the Tower of Luzern. Katharina considered him in her testament. During the very year, also the Gran Hotel Schweizerhof would open its doors.",1845,2,"MoKaK1790","Scene:  224#   10 July 1845, Katharina received a thank you letter from Jakob Robert Steiger for her helping to escape from the Tower of Luzern. Katharina considered him in her testament. During the very year, also the Gran Hotel Schweizerhof would open its doors.","Year:  1845  - - -  Character: MoKaK1790"
